YEAR,MONTH,DAY,HOUR,VALUE
2020,1,15,12,76.0
2020,1,15,13,87.0
2020,1,15,14,86.0
2020,1,15,15,76.0
2020,1,15,16,71.0
2020,1,15,17,79.0
2020,1,15,18,88.0
2020,1,15,19,93.0
2020,1,15,20,99.0
2020,1,15,21,97.0
2020,1,15,22,89.0
2020,1,15,23,86.0
2020,1,16,0,80.0
2020,1,16,1,73.0
2020,1,16,2,62.0
2020,1,16,3,42.0
2020,1,16,4,40.0
2020,1,16,5,38.0
2020,1,16,6,50.0
2020,1,16,7,61.0
2020,1,16,8,73.0
2020,1,16,9,74.0
2020,1,16,10,71.0
2020,1,16,11,67.0
2020,1,16,12,60.0
2020,1,16,13,60.0
2020,1,16,14,56.0
2020,1,16,15,49.0
2020,1,16,16,46.0
2020,1,16,17,54.0
2020,1,16,18,89.0
2020,1,16,19,89.0
2020,1,16,20,84.0
2020,1,16,21,68.0
2020,1,16,22,81.0
2020,1,16,23,78.0
2020,1,17,0,40.0
2020,1,17,1,20.0
2020,1,17,2,25.0
2020,1,17,3,15.0
2020,1,17,4,18.0
2020,1,17,5,26.0
2020,1,17,6,35.0
2020,1,17,7,44.0
2020,1,17,8,67.0
2020,1,17,9,57.0
2020,1,17,10,43.0
2020,1,17,11,28.0
2020,1,17,12,25.0
2020,1,17,13,22.0
2020,1,17,14,21.0
2020,1,17,15,24.0
2020,1,17,16,26.0
2020,1,17,17,31.0
2020,1,17,18,46.0
2020,1,17,19,60.0
2020,1,17,20,69.0
2020,1,17,21,60.0
2020,1,17,22,72.0
2020,1,17,23,75.0
2020,1,18,0,79.0
2020,1,18,1,69.0
2020,1,18,2,62.0
2020,1,18,3,45.0
2020,1,18,4,52.0
2020,1,18,5,58.0
2020,1,18,6,58.0
2020,1,18,7,50.0
2020,1,18,8,54.0
2020,1,18,9,55.0
2020,1,18,10,58.0
2020,1,18,11,54.0
2020,1,18,12,43.0
2020,1,18,13,50.0
2020,1,18,14,49.0
2020,1,18,15,46.0
2020,1,18,16,31.0
2020,1,18,17,36.0
2020,1,18,18,34.0
2020,1,18,19,36.0
2020,1,18,20,37.0
2020,1,18,21,35.0
2020,1,18,22,39.0
2020,1,18,23,34.0
2020,1,19,0,30.0
2020,1,19,1,32.0
2020,1,19,2,33.0
2020,1,19,3,31.0
2020,1,19,4,36.0
2020,1,19,5,41.0
2020,1,19,6,41.0
2020,1,19,7,40.0
2020,1,19,8,44.0
2020,1,19,9,36.0
2020,1,19,10,24.0
2020,1,19,11,24.0
2020,1,19,12,24.0
2020,1,19,13,22.0
2020,1,19,14,26.0
2020,1,19,15,23.0
2020,1,19,16,19.0
2020,1,19,17,18.0
2020,1,19,18,29.0
2020,1,19,19,28.0
2020,1,19,20,32.0
2020,1,19,21,31.0
2020,1,19,22,22.0
2020,1,19,23,17.0
2020,1,20,0,16.0
2020,1,20,1,15.0
2020,1,20,2,12.0
2020,1,20,3,12.0
2020,1,20,4,10.0
2020,1,20,5,12.0
2020,1,20,6,23.0
2020,1,20,7,42.0
2020,1,20,8,43.0
2020,1,20,9,43.0
2020,1,20,10,43.0
2020,1,20,11,51.0
2020,1,20,12,38.0
2020,1,20,13,31.0
2020,1,20,14,36.0
2020,1,20,15,35.0
2020,1,20,16,36.0
2020,1,20,17,36.0
2020,1,20,18,34.0
2020,1,20,19,30.0
2020,1,20,20,27.0
2020,1,20,21,23.0
2020,1,20,22,21.0
2020,1,20,23,17.0
2020,1,21,0,13.0
2020,1,21,1,11.0
2020,1,21,2,12.0
2020,1,21,3,10.0
2020,1,21,4,12.0
2020,1,21,5,12.0
2020,1,21,6,15.0
2020,1,21,7,23.0
2020,1,21,8,35.0
2020,1,21,9,37.0
2020,1,21,10,37.0
2020,1,21,11,38.0
2020,1,21,12,40.0
2020,1,21,13,39.0
2020,1,21,14,33.0
2020,1,21,15,31.0
2020,1,21,16,37.0
2020,1,21,17,44.0
2020,1,21,18,39.0
2020,1,21,19,38.0
2020,1,21,20,36.0
2020,1,21,21,29.0
2020,1,21,22,26.0
2020,1,21,23,22.0
2020,1,22,0,19.0
2020,1,22,1,18.0
2020,1,22,2,19.0
2020,1,22,3,15.0
2020,1,22,4,17.0
2020,1,22,5,17.0
2020,1,22,6,22.0
2020,1,22,7,41.0
2020,1,22,8,56.0
2020,1,22,9,61.0
2020,1,22,10,59.0
2020,1,22,11,63.0
2020,1,22,12,55.0
2020,1,22,13,45.0
2020,1,22,14,43.0
2020,1,22,15,54.0
2020,1,22,16,50.0
2020,1,22,17,54.0
2020,1,22,18,55.0
2020,1,22,19,56.0
2020,1,22,20,52.0
2020,1,22,21,53.0
2020,1,22,22,44.0
2020,1,22,23,37.0
2020,1,23,0,27.0
2020,1,23,1,24.0
2020,1,23,2,21.0
2020,1,23,3,17.0
2020,1,23,4,20.0
2020,1,23,5,27.0
2020,1,23,6,28.0
2020,1,23,7,53.0
2020,1,23,8,67.0
2020,1,23,9,64.0
2020,1,23,10,69.0
2020,1,23,11,61.0
2020,1,23,12,55.0
2020,1,23,13,53.0
2020,1,23,14,45.0
2020,1,23,15,49.0
2020,1,23,16,48.0
2020,1,23,17,56.0
2020,1,23,18,66.0
2020,1,23,19,67.0
2020,1,23,20,77.0
2020,1,23,21,65.0
2020,1,23,22,41.0
2020,1,23,23,33.0
2020,1,24,0,33.0
2020,1,24,1,23.0
2020,1,24,2,22.0
2020,1,24,3,22.0
2020,1,24,4,28.0
2020,1,24,5,31.0
2020,1,24,6,38.0
2020,1,24,7,49.0
2020,1,24,8,57.0
2020,1,24,9,63.0
2020,1,24,10,62.0
2020,1,24,11,58.0
2020,1,24,12,50.0
2020,1,24,13,39.0
2020,1,24,14,41.0
2020,1,24,15,41.0
2020,1,24,16,44.0
2020,1,24,17,41.0
2020,1,24,18,37.0
2020,1,24,19,54.0
2020,1,24,20,73.0
2020,1,24,21,72.0
2020,1,24,22,69.0
2020,1,24,23,60.0
2020,1,25,0,47.0
2020,1,25,1,48.0
2020,1,25,2,35.0
2020,1,25,3,31.0
2020,1,25,4,29.0
2020,1,25,5,31.0
2020,1,25,6,30.0
2020,1,25,7,29.0
2020,1,25,8,33.0
2020,1,25,9,35.0
2020,1,25,10,37.0
2020,1,25,11,37.0
2020,1,25,12,37.0
2020,1,25,13,33.0
2020,1,25,14,25.0
2020,1,25,15,33.0
2020,1,25,16,25.0
2020,1,25,17,26.0
2020,1,25,18,28.0
2020,1,25,19,38.0
2020,1,25,20,65.0
2020,1,25,21,70.0
2020,1,25,22,60.0
2020,1,25,23,42.0
2020,1,26,0,45.0
2020,1,26,1,54.0
2020,1,26,2,47.0
2020,1,26,3,35.0
2020,1,26,4,35.0
2020,1,26,5,27.0
2020,1,26,6,16.0
2020,1,26,7,20.0
2020,1,26,8,34.0
2020,1,26,9,32.0
2020,1,26,10,30.0
2020,1,26,11,46.0
2020,1,26,12,30.0
2020,1,26,13,36.0
2020,1,26,14,22.0
2020,1,26,15,17.0
2020,1,26,16,18.0
2020,1,26,17,22.0
2020,1,26,18,32.0
2020,1,26,19,31.0
2020,1,26,20,28.0
2020,1,26,21,36.0
2020,1,26,22,39.0
2020,1,26,23,44.0
2020,1,27,0,56.0
2020,1,27,1,38.0
2020,1,27,2,21.0
2020,1,27,3,20.0
2020,1,27,4,25.0
2020,1,27,5,26.0
2020,1,27,6,17.0
2020,1,27,7,39.0
2020,1,27,8,52.0
2020,1,27,9,57.0
2020,1,27,10,68.0
2020,1,27,11,69.0
2020,1,27,12,67.0
2020,1,27,13,60.0
2020,1,27,14,44.0
2020,1,27,15,31.0
2020,1,27,16,26.0
2020,1,27,17,29.0
2020,1,27,18,31.0
2020,1,27,19,33.0
2020,1,27,20,31.0
2020,1,27,21,26.0
2020,1,27,22,20.0
2020,1,27,23,14.0
2020,1,28,0,12.0
2020,1,28,1,12.0
2020,1,28,2,11.0
2020,1,28,3,9.0
2020,1,28,4,8.0
2020,1,28,5,9.0
2020,1,28,6,11.0
2020,1,28,7,26.0
2020,1,28,8,35.0
2020,1,28,9,38.0
2020,1,28,10,37.0
2020,1,28,11,37.0
2020,1,28,12,26.0
2020,1,28,13,21.0
2020,1,28,14,17.0
2020,1,28,15,20.0
2020,1,28,16,20.0
2020,1,28,17,22.0
2020,1,28,18,32.0
2020,1,28,19,31.0
2020,1,28,20,28.0
2020,1,28,21,22.0
2020,1,28,22,17.0
2020,1,28,23,13.0
2020,1,29,0,10.0
2020,1,29,1,12.0
2020,1,29,2,13.0
2020,1,29,3,8.0
2020,1,29,4,7.0
2020,1,29,5,9.0
2020,1,29,6,13.0
2020,1,29,7,25.0
2020,1,29,8,38.0
2020,1,29,9,42.0
2020,1,29,10,39.0
2020,1,29,11,35.0
2020,1,29,12,24.0
2020,1,29,13,26.0
2020,1,29,14,21.0
2020,1,29,15,24.0
2020,1,29,16,26.0
2020,1,29,17,29.0
2020,1,29,18,30.0
2020,1,29,19,30.0
2020,1,29,20,24.0
2020,1,29,21,24.0
2020,1,29,22,18.0
2020,1,29,23,17.0
2020,1,30,0,17.0
2020,1,30,1,20.0
2020,1,30,2,18.0
2020,1,30,3,14.0
2020,1,30,4,10.0
2020,1,30,5,12.0
2020,1,30,6,15.0
2020,1,30,7,27.0
2020,1,30,8,44.0
2020,1,30,9,55.0
2020,1,30,10,41.0
2020,1,30,11,30.0
2020,1,30,12,29.0
2020,1,30,13,20.0
2020,1,30,14,22.0
2020,1,30,15,18.0
2020,1,30,16,22.0
2020,1,30,17,25.0
2020,1,30,18,28.0
2020,1,30,19,33.0
2020,1,30,20,42.0
2020,1,30,21,27.0
2020,1,30,22,21.0
2020,1,30,23,14.0
2020,1,31,0,11.0
2020,1,31,1,12.0
2020,1,31,2,12.0
2020,1,31,3,11.0
2020,1,31,4,10.0
2020,1,31,5,9.0
2020,1,31,6,9.0
2020,1,31,7,23.0
2020,1,31,8,32.0
2020,1,31,9,34.0
2020,1,31,10,40.0
2020,1,31,11,39.0
2020,1,31,12,45.0
2020,1,31,13,32.0
2020,1,31,14,23.0
2020,1,31,15,21.0
2020,1,31,16,19.0
2020,1,31,17,24.0
2020,1,31,18,33.0
2020,1,31,19,26.0
2020,1,31,20,30.0
2020,1,31,21,44.0
2020,1,31,22,42.0
2020,1,31,23,38.0
2020,2,1,0,20.0
2020,2,1,1,19.0
2020,2,1,2,17.0
2020,2,1,3,12.0
2020,2,1,4,11.0
2020,2,1,5,13.0
2020,2,1,6,12.0
2020,2,1,7,11.0
2020,2,1,8,16.0
2020,2,1,9,19.0
2020,2,1,10,16.0
2020,2,1,11,16.0
2020,2,1,12,15.0
2020,2,1,13,12.0
2020,2,1,14,14.0
2020,2,1,15,13.0
2020,2,1,16,14.0
2020,2,1,17,14.0
2020,2,1,18,19.0
2020,2,1,19,24.0
2020,2,1,20,30.0
2020,2,1,21,41.0
2020,2,1,22,37.0
2020,2,1,23,30.0
2020,2,2,0,22.0
2020,2,2,1,21.0
2020,2,2,2,14.0
2020,2,2,3,10.0
2020,2,2,4,11.0
2020,2,2,5,14.0
2020,2,2,6,21.0
2020,2,2,7,23.0
2020,2,2,8,28.0
2020,2,2,9,29.0
2020,2,2,10,26.0
2020,2,2,11,30.0
2020,2,2,12,31.0
2020,2,2,13,36.0
2020,2,2,14,34.0
2020,2,2,15,37.0
2020,2,2,16,40.0
2020,2,2,17,44.0
2020,2,2,18,45.0
2020,2,2,19,48.0
2020,2,2,20,58.0
2020,2,2,21,58.0
2020,2,2,22,61.0
2020,2,2,23,62.0
2020,2,3,0,59.0
2020,2,3,1,42.0
2020,2,3,2,25.0
2020,2,3,3,18.0
2020,2,3,4,18.0
2020,2,3,5,18.0
2020,2,3,6,18.0
2020,2,3,7,34.0
